-39.67	-19.5
-39.58	-19
-39.58	-18.5
-39.5	-18
-39.17	-17.67
-39.17	-17.17
-39.08	-16.58
-38.92	-16
-39	-15.5
-39	-15
-39.08	-14.5
-39	-14
-38.92	-13.33
-38.42	-13
-38	-12.58
-37.58	-12
-37.33	-11.5
-37	-11
-36.75	-10.75
-36.25	-10.42
-36	-10
-35.58	-9.58
-35.33	-9.17
-35.08	-8.67
-34.83	-8.17
-34.75	-7.5
-34.83	-7
-35	-6.42
-35.17	-5.83
-35.42	-5.25
-36	-5.08
-36.5	-5.17
-37	-5.08
-37.33	-4.75
-37.83	-4.5
-38.17	-4.17
-38.5	-3.83
-39	-3.5
-39.5	-3.17
-40	-2.83
-40.5	-2.83
-41	-3
-41.5	-3
-42	-2.75
-42.5	-2.75
-43	-2.5
-43.5	-2.42
-44	-2.67
-44.58	-2.83
-44.42	-2.33
-44.67	-1.92
-44.83	-1.5
-45.33	-1.67
-45.5	-1.33
-46.17	-1.17
-46.67	-1
-47.25	-0.67
-47.83	-0.67
-48.17	-0.83
-48.5	-1.58
-48.75	-1.42
-48.58	-1
-48.42	-0.33
-49	-0.17
-49.5	-0.25
-50	-0.17
-50.42	-0.42
-50.42	-1
-50.58	-1.67
-50.83	-1
-51.42	-1.25
-51.33	-0.67
-51.17	-0.17
-50.75	0.17
-50.42	0.5
-50	1
-49.92	1.75
-50.5	1.83
-50.67	2.5
-51	3.17
-51	3.75
-51.5	4.25
-51.83	4.5
-52.33	4.83
-52.75	5.17
-53.25	5.42
-53.67	5.58
-54	5.67
-54.5	5.83
-55	5.92
-55.5	5.92
-56	5.83
-56.5	5.83
-57.08	5.92
-57.33	6.25
-57.33	6.25
-57.67	6.5
-58.17	6.83
-58.58	6.75
-58.5	7.17
-58.67	7.58
-59.17	7.92
-59.67	8.25
-60.25	8.58
-61	8.42
-60.83	9
-61	9.5
-61.58	9.67
-62	9.83
-62.33	9.75
-62.67	10.17
-63	10.5
-62.17	10.67
-62.75	10.67
-63.42	10.67
-64	10.67
-64.5	10.25
-65	10.08
-65.58	10.17
-66	10.33
-66.17	10.58
-66.58	10.58
-67	10.5
-67.58	10.5
-68.17	10.42
-68.33	10.75
-68.42	11.17
-68.83	11.42
-69.33	11.5
-69.75	11.5
-69.92	12.17
-70.33	11.92
-70.17	11.5
-70.58	11.25
-71	11.08
-71.42	10.92
