  Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
58.062302,8000,6.27351,3.37883,790.57703
116.125,8000,6.2431898,3.36415,789.70599
174.187,8000,6.2127199,3.3494,788.83502
232.24899,8000,6.1820898,3.3345799,787.96503
290.31201,8000,6.15132,3.3197,787.09399
348.37399,8000,6.1203899,3.30476,786.22302
406.436,8000,6.0893002,3.2897401,785.35199
464.49899,8000,6.0580502,3.2746601,784.48199
522.56,8000,6.0580502,3.2746601,783.61102
522.56097,3495.48,8.2415504,4.6308198,783.61102
535.48901,3493.47,8.2344398,4.6286898,783.43903
548.41699,3491.8201,8.2280397,4.62711,782.93201
561.34497,3490.1201,8.2216101,4.6249499,782.10699
574.27301,3488.49,8.2149401,4.6230602,780.97601
587.20099,3486.95,8.2084503,4.6213398,779.552
600.12903,3485.5801,8.2013798,4.6192598,777.84601
613.05701,3483.95,8.1950102,4.6178298,775.86902
625.98499,3482.0901,8.1892796,4.6162601,773.63098
638.91302,3480.55,8.1841002,4.6154499,771.14001
651.841,3475.73,8.1781902,4.6141601,768.40399
664.76898,3469.1201,8.1653099,4.61097,765.43103
677.69702,3463.3,8.1484499,4.6058402,762.22699
690.625,3459.4099,8.1257801,4.5969501,758.79999
703.55298,3453.5901,8.1122704,4.5925798,755.15399
716.48102,3445.04,8.0932198,4.5862002,751.29602
729.409,3435.7,8.0785704,4.5837102,747.23102
742.33698,3433.53,8.0700302,4.58571,742.96198
755.26501,3431.53,8.0629997,4.5843,738.495
768.19299,3429.8899,8.0593796,4.58529,733.83398
781.12097,3428.77,8.0552101,4.5855999,728.98297
794.04901,3427.1001,8.0504398,4.5849299,723.94501
806.97699,3425.6699,8.0465698,4.5851798,718.72302
819.90503,3425.21,8.04245,4.5852799,713.32098
832.83301,3423.8999,8.0370302,4.5841599,707.742
845.76099,3422.5901,8.0330296,4.5841799,701.98798
858.68903,3422.0701,8.0291004,4.58427,696.06201
871.617,3420.6299,8.0241098,4.5830598,689.96698
884.54498,3419.5801,8.0206203,4.5834198,683.70502
897.47302,3418.71,8.0166798,4.5834799,677.27698
910.401,3417.8999,8.0125999,4.5833302,670.68701
923.32898,3416.8201,8.0085297,4.5830598,663.935
936.25702,3415.1101,8.0049801,4.5833902,657.02399
949.185,3413.8601,8.0025101,4.58495,649.95599
962.11298,3412.9399,7.9994602,4.5858302,642.73199
975.04102,3411.27,7.9960599,4.5861702,635.354
987.96899,3409.29,7.9938302,4.5879502,627.823
1000.9,3411.51,7.99225,4.5903101,620.14099
1013.82,3408.8401,7.9843102,4.5855198,612.30798
1026.75,3408.3201,7.9839001,4.5890698,604.32703
1039.6801,3408.29,7.9804101,4.5891399,596.198
1052.61,3405.96,7.9762702,4.5884099,587.922
1065.54,3404.45,7.9757199,4.5919499,579.50098
1078.46,3403.3701,7.97402,4.5939498,570.93597
1091.39,3401.6799,7.9717398,4.5949502,562.22699
1104.3199,3401.6499,7.97052,4.5973802,553.37598
1117.25,3399.6001,7.9668398,4.5971699,544.383
1130.1801,3397.9199,7.9664001,4.60041,535.25
1143.1,3398,7.9655299,4.6028299,525.97699
1156.03,3398.55,7.9619398,4.6027899,516.56403
1168.96,3397.02,7.9579201,4.6018,507.013
1181.89,3395.6399,7.9569898,4.60427,497.32401
1194.8199,3393.5901,7.9559698,4.6066599,487.49799
1207.74,3393.0601,7.95608,4.6100602,477.53601
1220.67,3391.0601,7.9539599,4.6111798,467.439
1233.6,3391.71,7.9542098,4.6147299,457.20499
1246.53,3392.1201,7.8031001,4.4138899,446.83801
1259.46,3391.71,6.9310999,3.2340901,436.336
1272.38,3388.96,6.9282699,3.2348599,425.70099
1285.3101,3389.0801,6.9282398,3.2385299,414.93301
1298.24,3386.6101,6.9249401,3.23873,404.03201
1311.17,3372.6799,6.91818,3.2375,392.99899
1324.1,3372.6899,6.8064098,3.1638,381.83499
1337.02,3376.03,6.80651,3.16067,370.539
1349.95,3394.5801,6.7775798,3.1386099,359.11301
1362.88,3406.3301,6.5746002,3.0043099,347.556
1375.8101,3409.6599,6.2918301,2.73931,335.86899
1388.74,3409.8999,6.19102,2.6429,324.05301
1401.66,3409.05,6.1662302,2.6216099,312.10699
1414.59,3406.8999,6.1578698,2.6167901,300.03299
1427.52,3399.8999,6.1125002,2.5785899,287.82901
1441.04,3380.98,5.9338102,2.43397,275.49799
1441.05,1172.12,1.86964,0,275.479
1441.63,1171.83,1.86812,0,275.45901
1442.22,1171.55,1.86659,0,275.44
1442.8199,1171.27,1.86506,0,275.42001
1443.41,1170.99,1.86353,0,275.401
1444,1170.7,1.862,0,275.38199
1444.6,1170.42,1.86046,0,275.362
1445.1899,1170.13,1.85892,0,275.34299
1445.79,1169.85,1.85737,0,275.32401
1446.38,1169.5601,1.85583,0,275.30499
1446.98,1169.28,1.85428,0,275.28601
1447.5699,1168.99,1.85273,0,275.267
1448.17,1168.7,1.85118,0,275.24701
1448.77,1168.42,1.84962,0,275.228
1449.36,1168.13,1.84806,0,275.20901
1449.96,1167.84,1.8465,0,275.19
1450.5601,1167.55,1.8449301,0,275.17099
1451.16,1167.26,1.8433599,0,275.15201
1451.75,1166.97,1.84179,0,275.133
1452.35,1166.6801,1.84022,0,275.11499
1452.95,1166.39,1.83864,0,275.09601
1453.55,1166.1,1.83706,0,275.077
1454.15,1165.8101,1.83548,0,275.05801
1454.75,1165.52,1.8339,0,275.039
1455.35,1165.22,1.83231,0,275.021
1455.95,1164.9301,1.8307199,0,275.00201
1456.5601,1164.64,1.8291301,0,274.983
1457.16,1164.34,1.82753,0,274.965
1457.76,1164.05,1.82593,0,274.94601
1458.36,1163.75,1.82433,0,274.927
1458.97,1163.46,1.8227201,0,274.909
1459.5699,1163.16,1.82111,0,274.89001
1460.17,1162.86,1.8195,0,274.87201
1460.78,1162.5699,1.81789,0,274.854
1461.38,1162.27,1.81627,0,274.83499
1461.99,1161.97,1.8146501,0,274.81699
1462.59,1161.67,1.81302,0,274.798
1463.2,1161.37,1.81139,0,274.78
1463.8101,1161.0699,1.80976,0,274.76199
1464.41,1160.77,1.80813,0,274.74399
1465.02,1160.47,1.8064899,0,274.72501
1465.63,1160.17,1.80485,0,274.707
1466.24,1159.87,1.80321,0,274.689
1466.85,1159.5601,1.80156,0,274.67099
1467.45,1159.26,1.7999099,0,274.65302
1468.0601,1158.96,1.79826,0,274.63501
1468.67,1158.65,1.79661,0,274.617
1469.28,1158.35,1.79495,0,274.599
1469.89,1158.04,1.79329,0,274.58099
1470.51,1157.73,1.79162,0,274.56299
1471.12,1157.4301,1.78995,0,274.54599
1471.73,1157.12,1.78828,0,274.52802
1472.34,1156.8101,1.78661,0,274.51001
1472.95,1156.5,1.78494,0,274.492
1473.5699,1156.1899,1.78326,0,274.47501
1474.1801,1155.88,1.78158,0,274.457
1474.79,1155.5699,1.7798899,0,274.44
1475.41,1155.26,1.77821,0,274.422
1476.02,1154.95,1.77652,0,274.40399
1476.64,1154.64,1.77483,0,274.38699
1477.25,1154.33,1.7731301,0,274.37
1477.87,1154.01,1.77144,0,274.35199
1478.48,1153.7,1.76974,0,274.33499
1479.1,1153.39,1.7680399,0,274.31799
1479.72,1153.0699,1.76633,0,274.29999
1480.34,1152.76,1.76463,0,274.28299
1480.95,1152.4399,1.76292,0,274.26599
1481.5699,1152.12,1.76121,0,274.24899
1482.1899,1151.8,1.75949,0,274.23199
1482.8101,1151.49,1.75778,0,274.215
1483.4301,1151.17,1.75606,0,274.198
1484.05,1150.85,1.7543401,0,274.181
1484.67,1150.53,1.75261,0,274.164
1485.29,1150.21,1.75089,0,274.147
1485.91,1149.89,1.7491601,0,274.13
1486.53,1149.5601,1.74743,0,274.11401
1487.16,1149.24,1.74569,0,274.09698
1487.78,1148.92,1.74396,0,274.07999
1488.4,1148.59,1.74222,0,274.064
1489.03,1148.27,1.7404799,0,274.047
1489.65,1147.95,1.73873,0,274.03101
1490.27,1147.62,1.73698,0,274.01401
1490.9,1147.29,1.73523,0,273.99799
1491.52,1146.97,1.73348,0,273.98199
1492.15,1146.64,1.73173,0,273.965
1492.78,1146.3101,1.72997,0,273.94901
1493.4,1145.98,1.72821,0,273.93301
1494.03,1145.65,1.72644,0,273.91699
1494.66,1145.3199,1.7246799,0,273.901
1495.28,1144.99,1.72291,0,273.88501
1495.91,1144.66,1.72114,0,273.86899
1496.54,1144.3199,1.71936,0,273.853
1497.17,1143.99,1.71759,0,273.83701
1497.8,1143.66,1.7158099,0,273.82101
1498.4301,1143.3199,1.71403,0,273.80499
1499.0601,1142.99,1.71224,0,273.79001
1499.6899,1142.65,1.7104599,0,273.77399
1500.3199,1142.3101,1.70867,0,273.758
1500.95,1141.98,1.70688,0,273.74301
1501.58,1141.64,1.70509,0,273.72699
1502.22,1141.3,1.70329,0,273.71201
1502.85,1140.96,1.70149,0,273.69699
1503.48,1140.62,1.69969,0,273.681
1504.12,1140.28,1.69789,0,273.66599
1504.75,1139.9399,1.69609,0,273.651
1505.39,1139.6,1.69428,0,273.63599
1506.02,1139.25,1.69247,0,273.621
1506.66,1138.91,1.69067,0,273.60599
1507.29,1138.5601,1.68885,0,273.591
1507.9301,1138.22,1.68704,0,273.57599
1508.5699,1137.87,1.68523,0,273.561
1509.2,1137.53,1.68341,0,273.54599
1509.84,1137.1801,1.68159,0,273.53201
1510.48,1136.83,1.67977,0,273.517
1511.12,1136.48,1.67795,0,273.50299
1511.76,1136.13,1.67612,0,273.48801
1512.4,1135.78,1.6743,0,273.474
1513.04,1135.4301,1.67247,0,273.45901
1513.6801,1135.08,1.67064,0,273.44501
1514.3199,1134.72,1.66881,0,273.431
1514.96,1134.37,1.66698,0,273.41699
1515.6,1134.02,1.66514,0,273.40302
1516.24,1133.66,1.6633101,0,273.38901
1516.89,1133.3,1.6614701,0,273.375
1517.53,1132.95,1.6596299,0,273.36099
1518.17,1132.59,1.6577899,0,273.34698
1518.8199,1132.23,1.6559401,0,273.33401
1519.46,1131.87,1.6540999,0,273.32001
1520.11,1131.51,1.6522501,0,273.306
1520.75,1131.15,1.6504,0,273.293
1521.4,1130.79,1.64854,0,273.28
1522.05,1130.4301,1.64669,0,273.26599
1522.6899,1130.0601,1.64483,0,273.25299
1523.34,1129.7,1.64297,0,273.23999
1523.99,1129.33,1.6411099,0,273.22699
1524.64,1128.97,1.63924,0,273.21399
1525.29,1128.6,1.63738,0,273.20099
1525.9301,1128.23,1.63551,0,273.18799
1526.58,1127.86,1.6336401,0,273.17499
1527.23,1127.49,1.63176,0,273.16299
1527.89,1127.12,1.62988,0,273.14999
1528.54,1126.75,1.628,0,273.138
1529.1899,1126.38,1.62612,0,273.125
1529.84,1126.01,1.62424,0,273.11301
1530.49,1125.64,1.62235,0,273.10101
1531.15,1125.26,1.62046,0,273.08801
1531.8,1124.89,1.61857,0,273.07599
1532.45,1124.51,1.61668,0,273.064
1533.11,1124.13,1.61479,0,273.3258588
1533.76,1123.75,1.61289,0,273.3074169
1534.42,1123.38,1.61099,0,273.2886927
1535.0699,1123,1.60909,0,273.2702562
1535.73,1122.61,1.60719,0,273.2515316
1536.39,1122.23,1.6052901,0,273.2328112
1537.04,1121.85,1.60338,0,273.2143757
1537.7,1121.47,1.60148,0,273.1956578
1538.36,1121.08,1.59957,0,273.1769412
1539.02,1120.7,1.59767,0,273.1582258
1539.6801,1120.3101,1.59576,0,273.139509
1540.34,1119.92,1.59385,0,273.120799
1541,1119.54,1.59194,0,273.1020875
1541.66,1119.15,1.59003,0,273.0833773
1542.3199,1118.76,1.58811,0,273.0646713
1542.98,1118.37,1.5862,0,273.0459608
1543.64,1117.98,1.58429,0,273.0272544
1544.3101,1117.58,1.5823801,0,273.0082631
1544.97,1117.1899,1.58046,0,272.9895622
1545.63,1116.79,1.57855,0,272.9708597
1546.3,1116.4,1.57663,0,268.2260997
1546.96,1116,1.57472,0,257.7037033
1547.63,1115.61,1.5728,0,247.4440104
1548.29,1115.21,1.5708899,0,237.7368866
1548.96,1114.8101,1.56897,0,228.272112
1549.63,1114.41,1.56706,0,219.1841488
1550.29,1114.01,1.56514,0,210.5856474
1550.96,1113.6,1.56323,0,202.2018172
1551.63,1113.2,1.5613101,0,194.1517639
1552.3,1112.8,1.5594,0,186.422199
1552.97,1112.39,1.55748,0,179.0003634
1553.64,1111.98,1.55557,0,171.8740057
1554.3101,1111.58,1.55365,0,165.0303617
1554.98,1111.17,1.55173,0,158.4611382
1556.3199,1110.76,1.5498199,0,146.0958827
1556.32,917.64203,3.9141901,1.98075,146.0949968
1556.5699,919.271,3.91047,1.97882,143.897915
1556.8199,920.79901,3.90696,1.977,141.7330151
1557.0601,922.21002,3.9037199,1.97531,139.6836655
1557.3101,923.49701,3.9007399,1.97375,137.5821676
1557.5601,924.65698,3.8980401,1.97234,135.5122862
1557.8,925.69501,3.8956001,1.97106,133.555313
1558.05,926.617,3.8934,1.9699,131.5460143
1558.3,927.43103,3.8914399,1.96886,129.566945
1558.54,928.14697,3.8896799,1.9679199,127.6950558
1558.79,928.776,3.8881099,1.96708,125.773923
1559.03,929.32703,3.8866999,1.96632,123.9568327
1559.28,929.80798,3.8854401,1.9656301,122.0919402
1559.53,930.229,3.8843,1.96501,120.2551045
1559.77,930.59698,3.88328,1.96445,118.5177461
1560.02,930.91803,3.88235,1.96393,116.734683
1560.26,931.198,3.88151,1.96346,115.0481851
1560.51,931.44299,3.8807399,1.96303,113.3173205
1560.75,931.65698,3.8800399,1.96262,111.6801942
1561,931.65698,3.8794,1.96225,110
