Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
1455.97,1063.13,1.6514,0,271.582
1456.5699,1062.8,1.64969,0,271.56601
1457.16,1062.47,1.64797,0,271.54999
1457.76,1062.14,1.64626,0,271.534
1458.35,1061.8101,1.64454,0,271.51801
1458.95,1061.48,1.64283,0,271.50201
1459.54,1061.15,1.64112,0,271.48599
1460.14,1060.8199,1.6394,0,271.47101
1460.74,1060.49,1.6376899,0,271.45499
1461.33,1060.15,1.63597,0,271.439
1461.9301,1059.8199,1.6342601,0,271.42401
1462.53,1059.49,1.63254,0,271.409
1463.13,1059.15,1.63083,0,271.39301
1463.73,1058.8101,1.62911,0,271.37799
1464.33,1058.48,1.6274,0,271.36301
1464.9301,1058.14,1.62569,0,271.34799
1465.53,1057.8,1.62397,0,271.33301
1466.13,1057.46,1.62226,0,271.31799
1466.73,1057.12,1.62054,0,271.30301
1467.33,1056.78,1.61883,0,271.289
1467.9301,1056.4399,1.61711,0,271.27399
1468.54,1056.1,1.6154,0,271.26001
1469.14,1055.76,1.61369,0,271.245
1469.74,1055.41,1.6119699,0,271.23099
1470.35,1055.0699,1.61026,0,271.21701
1470.95,1054.72,1.60855,0,271.202
1471.5601,1054.38,1.60683,0,271.18799
1472.16,1054.03,1.6051199,0,271.17401
1472.77,1053.6899,1.60341,0,271.16101
1473.37,1053.34,1.6016901,0,271.147
1473.98,1052.99,1.59998,0,271.133
1474.59,1052.64,1.5982701,0,271.12
1475.2,1052.29,1.59656,0,271.10599
1475.8,1051.9399,1.5948499,0,271.09299
1476.41,1051.59,1.59314,0,271.07999
1477.02,1051.24,1.5914299,0,271.06601
1477.63,1050.88,1.58972,0,271.05301
1478.24,1050.53,1.58801,0,271.04001
1478.85,1050.17,1.5863,0,271.02802
1479.46,1049.8199,1.58459,0,271.01501
1480.08,1049.46,1.58288,0,271.00201
1480.6899,1049.11,1.58117,0,270.98999
1481.3,1048.75,1.57947,0,270.97699
1481.91,1048.39,1.57776,0,270.965
1482.53,1048.03,1.5760601,0,270.953
1483.14,1047.67,1.57435,0,270.94101
1483.76,1047.3101,1.5726399,0,270.92899
1484.37,1046.95,1.57094,0,270.91699
1484.99,1046.59,1.56924,0,270.905
1485.6,1046.22,1.56753,0,270.89301
1486.22,1045.86,1.56583,0,270.88199
1486.84,1045.5,1.5641299,0,270.87
1487.45,1045.13,1.56242,0,270.85901
1488.0699,1044.76,1.56072,0,270.84799
1488.6899,1044.4,1.55902,0,270.83701
1489.3101,1044.03,1.55732,0,270.82599
1489.9301,1043.66,1.55562,0,270.815
1490.55,1043.29,1.55392,0,270.80399
1491.17,1042.92,1.55222,0,270.79401
1491.79,1042.55,1.5505199,0,270.78299
1492.41,1042.1801,1.54882,0,270.77301
1493.03,1041.8,1.54712,0,270.76199
1493.65,1041.4301,1.5454201,0,270.75201
1494.28,1041.0601,1.54373,0,270.742
1494.9,1040.6801,1.54203,0,270.73199
1495.52,1040.3,1.5403301,0,270.72299
1496.15,1039.9301,1.53864,0,270.71301
1496.77,1039.55,1.53694,0,270.703
1497.4,1039.17,1.5352499,0,270.694
1498.02,1038.79,1.53355,0,270.685
1498.65,1038.41,1.53186,0,270.67599
1499.28,1038.03,1.53017,0,270.66699
1499.9,1037.65,1.5284801,0,270.65799
1500.53,1037.27,1.52679,0,270.64899
1501.16,1036.88,1.5251,0,270.64001
1501.79,1036.5,1.52341,0,270.63199
1502.42,1036.11,1.5217201,0,270.62299
1503.05,1035.73,1.52004,0,270.61499
1503.6801,1035.34,1.51835,0,270.60699
1504.3101,1034.95,1.51667,0,270.599
1504.9399,1034.5601,1.51498,0,270.591
1505.5699,1034.17,1.5132999,0,270.58401
1506.2,1033.78,1.51162,0,270.57599
1506.84,1033.39,1.50994,0,270.569
1507.47,1033,1.50827,0,270.561
1508.11,1032.6,1.50659,0,270.55399
1508.74,1032.21,1.50492,0,270.547
1509.37,1031.8199,1.50325,0,270.54001
1510.01,1031.42,1.50157,0,270.534
1510.65,1031.02,1.49991,0,270.52701
1511.28,1030.63,1.49824,0,270.521
1511.92,1030.23,1.49657,0,270.51401
1512.5601,1029.83,1.49491,0,270.508
1513.2,1029.4301,1.49324,0,270.50201
1513.83,1029.03,1.49158,0,270.49701
1514.47,1028.62,1.48992,0,270.491
1515.11,1028.22,1.48827,0,270.48499
1515.75,1027.8199,1.4866101,0,270.48001
1516.39,1027.41,1.48496,0,270.47501
1517.04,1027.01,1.48331,0,270.47
1517.6801,1026.6,1.48166,0,270.465
1518.3199,1026.1899,1.48001,0,270.45999
1518.96,1025.79,1.47837,0,270.45499
1519.61,1025.38,1.47673,0,270.45099
1520.25,1024.97,1.47509,0,270.44699
1520.89,1024.5601,1.4734499,0,270.44199
1521.54,1024.14,1.47182,0,270.43799
1522.1899,1023.73,1.47019,0,270.435
1522.83,1023.32,1.46856,0,270.431
1523.48,1022.9,1.46694,0,270.427
1524.13,1022.49,1.46531,0,270.42401
1524.77,1022.07,1.4637001,0,270.42099
1525.42,1021.65,1.46208,0,270.418
1526.0699,1021.23,1.46047,0,270.41501
1526.72,1020.81,1.45886,0,270.41199
1527.37,1020.39,1.45726,0,270.41
1528.02,1019.97,1.45566,0,270.40799
1528.67,1019.55,1.45406,0,270.405
1529.3199,1019.13,1.4524699,0,270.40302
1530.629,1018.7,1.4508801,0,270.40201
1530.63,921.39099,3.93257,1.99498,270.39999
1532.22,922.815,3.92904,1.99288,261.86099
1533.8101,924.13501,3.9278901,1.992,261.84201
1535.41,925.33801,3.9267299,1.99111,261.823
1537,926.41699,3.92556,1.9902101,261.806
1538.59,927.37097,3.9243901,1.98932,261.789
1540.1899,928.20398,3.9232199,1.98842,261.77301
1541.78,928.92297,3.92204,1.98752,261.75699
1543.37,929.53699,3.9208601,1.9866101,261.742
1544.97,930.05603,3.9196801,1.98571,261.728
1546.5699,930.48798,3.9184899,1.9848,261.715
1548.16,930.84399,3.91729,1.9838901,239.6182974
1549.76,931.133,3.91609,1.98297,217.4631807
1551.36,931.362,3.91488,1.98206,197.3565269
1552.97,931.539,3.9136701,1.98113,179.0003634
1554.5699,931.66998,3.9124601,1.9802099,162.4509682
1556.17,931.76202,3.9112401,1.97929,147.4298516
1557.78,931.81799,3.89378,1.97014,133.7173765
1559.39,931.84497,3.88445,1.9651099,121.280301
1561,931.84497,3.8794,1.96225,110
