Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
1454.1801,1090.49,1.6981,0,269.897
1454.76,1090.1801,1.69643,0,269.87701
1455.34,1089.87,1.69476,0,269.858
1455.92,1089.55,1.69309,0,269.83899
1456.5,1089.24,1.69142,0,269.82001
1457.08,1088.92,1.68975,0,269.802
1457.66,1088.61,1.68808,0,269.78299
1458.24,1088.29,1.68641,0,269.76401
1458.8199,1087.98,1.6847399,0,269.745
1459.4,1087.66,1.6830699,0,269.72699
1459.98,1087.34,1.6813999,0,269.70801
1460.5699,1087.03,1.6797301,0,269.69
1461.15,1086.71,1.6780601,0,269.672
1461.73,1086.39,1.6763901,0,269.65302
1462.3199,1086.0699,1.67472,0,269.63501
1462.9,1085.75,1.67305,0,269.617
1463.49,1085.4301,1.67138,0,269.599
1464.0699,1085.11,1.66971,0,269.58099
1464.66,1084.79,1.66804,0,269.56299
1465.24,1084.47,1.66637,0,269.54501
1465.83,1084.14,1.6647,0,269.52701
1466.41,1083.8199,1.66303,0,269.51001
1467,1083.5,1.66136,0,269.492
1467.59,1083.17,1.65969,0,269.47501
1468.1801,1082.85,1.65802,0,269.457
1468.77,1082.52,1.65635,0,269.44
1469.35,1082.2,1.65468,0,269.423
1469.9399,1081.87,1.65301,0,269.405
1470.53,1081.54,1.65134,0,269.388
1471.12,1081.21,1.64967,0,269.371
1471.71,1080.88,1.648,0,269.354
1472.3101,1080.5601,1.64634,0,269.33801
1472.9,1080.23,1.64467,0,269.32101
1473.49,1079.89,1.643,0,269.30399
1474.08,1079.5601,1.64133,0,269.28699
1474.67,1079.23,1.63966,0,269.271
1475.27,1078.9,1.63799,0,269.254
1475.86,1078.5699,1.63632,0,269.23801
1476.45,1078.23,1.63465,0,269.22198
1477.05,1077.9,1.63298,0,269.20599
1477.64,1077.5601,1.63131,0,269.19
1478.24,1077.23,1.62964,0,269.173
1478.83,1076.89,1.62797,0,269.15799
1479.4301,1076.55,1.6263,0,269.142
1480.03,1076.21,1.62463,0,269.12601
1480.62,1075.88,1.62296,0,269.10999
1481.22,1075.54,1.62129,0,269.095
1481.8199,1075.2,1.61962,0,269.07901
1482.42,1074.86,1.61795,0,269.064
1483.02,1074.52,1.61628,0,269.04901
1483.62,1074.17,1.61461,0,269.03299
1484.22,1073.83,1.61294,0,269.01801
1484.8199,1073.49,1.61127,0,269.00299
1485.42,1073.14,1.6095999,0,268.98801
1486.02,1072.8,1.6079299,0,268.97299
1486.62,1072.45,1.6062599,0,268.95901
1487.22,1072.11,1.6045901,0,268.944
1487.8199,1071.76,1.6029201,0,268.92899
1488.4301,1071.41,1.60124,0,268.91501
1489.03,1071.0601,1.59956,0,268.901
1489.63,1070.71,1.59788,0,268.88599
1490.24,1070.36,1.5962,0,268.87201
1490.84,1070.01,1.59452,0,268.858
1491.45,1069.66,1.5928299,0,268.84399
1492.05,1069.3101,1.59115,0,268.82999
1492.66,1068.96,1.58946,0,268.81699
1493.27,1068.6,1.58777,0,268.80301
1493.87,1068.25,1.58608,0,268.789
1494.48,1067.89,1.58439,0,268.776
1495.09,1067.54,1.5827,0,268.763
1495.7,1067.1801,1.58101,0,268.74899
1496.3,1066.8199,1.57932,0,268.73599
1496.91,1066.47,1.57762,0,268.72299
1497.52,1066.11,1.57593,0,268.70999
1498.13,1065.75,1.57424,0,268.69699
1498.74,1065.39,1.57254,0,268.685
1499.35,1065.02,1.57085,0,268.672
1499.97,1064.66,1.56915,0,268.66
1500.58,1064.3,1.5674599,0,268.647
1501.1899,1063.9399,1.56576,0,268.63501
1501.8,1063.5699,1.56407,0,268.62299
1502.42,1063.21,1.56238,0,268.61099
1503.03,1062.84,1.56068,0,268.599
1503.64,1062.47,1.55899,0,268.58701
1504.26,1062.11,1.5573,0,268.57501
1504.87,1061.74,1.5556099,0,268.564
1505.49,1061.37,1.55392,0,268.552
1506.11,1061,1.55223,0,268.54099
1506.72,1060.63,1.55054,0,268.53
1507.34,1060.26,1.5488501,0,268.51901
1507.96,1059.88,1.54716,0,268.508
1508.58,1059.51,1.54548,0,268.49701
1509.1899,1059.14,1.54379,0,268.48599
1509.8101,1058.76,1.54211,0,268.47601
1510.4301,1058.39,1.5404299,0,268.465
1511.05,1058.01,1.5387501,0,268.45499
1511.67,1057.63,1.53707,0,268.44501
1512.29,1057.25,1.53539,0,268.43399
1512.91,1056.87,1.53372,0,268.42499
1513.54,1056.49,1.53205,0,268.41501
1514.16,1056.11,1.53037,0,268.405
1514.78,1055.73,1.5287,0,268.39499
1515.4,1055.35,1.52704,0,268.38599
1516.03,1054.97,1.52537,0,268.37701
1516.65,1054.58,1.52371,0,268.367
1517.28,1054.2,1.52205,0,268.358
1517.9,1053.8101,1.52039,0,268.349
1518.53,1053.4301,1.51873,0,268.341
1519.15,1053.04,1.5170799,0,268.332
1519.78,1052.65,1.51543,0,268.323
1520.41,1052.26,1.51378,0,268.315
1521.04,1051.87,1.51213,0,268.30701
1521.66,1051.48,1.5104899,0,268.29901
1522.29,1051.09,1.50885,0,268.29099
1522.92,1050.7,1.50721,0,268.28299
1523.55,1050.3,1.5055799,0,268.27499
1524.1801,1049.91,1.50395,0,268.26801
1524.8101,1049.51,1.5023201,0,268.26001
1525.4399,1049.12,1.50069,0,268.25299
1526.08,1048.72,1.49907,0,268.246
1526.71,1048.3199,1.49745,0,268.23901
1527.34,1047.9301,1.49584,0,268.23199
1527.97,1047.53,1.49422,0,268.22501
1528.61,1047.13,1.49261,0,268.21899
1529.24,1046.73,1.49101,0,268.21201
1530.509,1046.3199,1.48941,0,268.20599
1530.51,921.69598,3.93204,1.99473,268.20001
1532.11,923.08899,3.92855,1.99266,259.80701
1533.71,924.37701,3.9273901,1.99177,259.78699
1535.3101,925.54797,3.92623,1.99087,259.76901
1536.91,926.59698,3.92506,1.98998,259.75101
1538.51,927.52301,3.9238901,1.98908,259.73401
1540.1,928.33197,3.9227099,1.98818,259.71799
1541.7,929.02899,3.92153,1.98727,259.703
1543.3101,929.62402,3.9203401,1.98636,259.68799
1544.91,930.12701,3.9191501,1.98545,259.67401
1546.51,930.54498,3.9179599,1.98454,259.66101
1548.11,930.89001,3.91676,1.9836299,259.64801
1549.72,931.16901,3.91555,1.98271,259.63599
1551.33,931.39001,3.91434,1.9817899,259.625
1552.9301,931.56,3.91313,1.98087,259.61401
1554.54,931.685,3.9119101,1.9799401,259.603
1556.16,931.77197,3.9106901,1.97901,259.59299
1557.77,931.82501,3.89358,1.97004,194.981
1559.38,931.84802,3.8843999,1.96509,146.451
1561,931.84802,3.8794,1.96225,110
