Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
1449.63,1167.29,1.8296601,0,271.638
1450.1801,1167.02,1.8282,0,271.62201
1450.72,1166.75,1.82674,0,271.60699
1451.26,1166.48,1.82528,0,271.591
1451.8101,1166.21,1.82381,0,271.57501
1452.35,1165.9399,1.82234,0,271.55899
1452.89,1165.6801,1.82087,0,271.54401
1453.4399,1165.4,1.8193901,0,271.52802
1453.98,1165.13,1.81791,0,271.513
1454.53,1164.86,1.81643,0,271.49701
1455.0699,1164.59,1.81495,0,271.48099
1455.62,1164.3199,1.81346,0,271.466
1456.16,1164.05,1.81198,0,271.45001
1456.71,1163.77,1.81048,0,271.435
1457.26,1163.5,1.80899,0,271.42001
1457.8101,1163.23,1.80749,0,271.40399
1458.35,1162.95,1.80599,0,271.38901
1458.9,1162.6801,1.80449,0,271.37399
1459.45,1162.4,1.80299,0,271.358
1460,1162.13,1.8014801,0,271.34299
1460.55,1161.85,1.79997,0,271.328
1461.09,1161.58,1.79845,0,271.31299
1461.64,1161.3,1.79694,0,271.297
1462.1899,1161.02,1.7954201,0,271.28201
1462.74,1160.74,1.7939,0,271.267
1463.29,1160.47,1.79237,0,271.25201
1463.84,1160.1899,1.79084,0,271.237
1464.4,1159.91,1.78931,0,271.22198
1464.95,1159.63,1.78778,0,271.207
1465.5,1159.35,1.78625,0,271.19199
1466.05,1159.0699,1.78471,0,271.17801
1466.6,1158.79,1.78317,0,271.16299
1467.16,1158.5,1.78163,0,271.14801
1467.71,1158.22,1.78008,0,271.133
1468.26,1157.9399,1.77854,0,271.11801
1468.8199,1157.66,1.7769901,0,271.104
1469.37,1157.37,1.77544,0,271.08899
1469.92,1157.09,1.77388,0,271.07401
1470.48,1156.8,1.77232,0,271.06
1471.03,1156.52,1.77077,0,271.04501
1471.59,1156.23,1.7692,0,271.03101
1472.15,1155.95,1.76764,0,271.01599
1472.7,1155.66,1.76607,0,271.00201
1473.26,1155.37,1.76451,0,270.98801
1473.8199,1155.08,1.76294,0,270.97299
1474.37,1154.8,1.76136,0,270.95901
1474.9301,1154.51,1.7597899,0,270.94501
1475.49,1154.22,1.7582099,0,270.92999
1476.05,1153.9301,1.7566299,0,270.91599
1476.6,1153.64,1.7550499,0,270.90201
1477.16,1153.35,1.7534699,0,270.888
1477.72,1153.0601,1.75188,0,270.87399
1478.28,1152.76,1.75029,0,270.85999
1478.84,1152.47,1.7487,0,270.84601
1479.4,1152.1801,1.74711,0,270.832
1479.96,1151.89,1.74552,0,270.81799
1480.52,1151.59,1.74392,0,270.80399
1481.09,1151.3,1.7423199,0,270.79001
1481.65,1151,1.74072,0,270.77701
1482.21,1150.71,1.73911,0,270.763
1482.77,1150.41,1.73751,0,270.74899
1483.33,1150.11,1.7359,0,270.73499
1483.9,1149.8199,1.73429,0,270.72198
1484.46,1149.52,1.73268,0,270.70801
1485.02,1149.22,1.73106,0,270.69501
1485.59,1148.92,1.72945,0,270.681
1486.15,1148.62,1.7278301,0,270.668
1486.72,1148.3199,1.7262,0,270.655
1487.28,1148.02,1.72458,0,270.64099
1487.85,1147.72,1.72295,0,270.62799
1488.42,1147.42,1.72133,0,270.61499
1488.98,1147.12,1.7197,0,270.60199
1489.55,1146.8101,1.71806,0,270.58899
1490.11,1146.51,1.7164299,0,270.57501
1490.6801,1146.21,1.71479,0,270.56201
1491.25,1145.9,1.71315,0,270.54901
1491.8199,1145.6,1.7115099,0,270.53699
1492.39,1145.29,1.70987,0,270.52399
1492.96,1144.98,1.70822,0,270.51099
1493.52,1144.6801,1.70657,0,270.49799
1494.09,1144.37,1.7049201,0,270.48499
