Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
1473.16,1080.52,1.66237,0,272.27701
1473.8101,1080.16,1.66055,0,272.258
1474.47,1079.8101,1.65873,0,272.23801
1475.12,1079.45,1.65692,0,272.21899
1475.78,1079.09,1.6551,0,272.20001
1476.4301,1078.73,1.65329,0,272.181
1477.09,1078.37,1.6514699,0,272.16199
1477.75,1078.01,1.64965,0,272.14301
1478.4,1077.64,1.64784,0,272.12399
1479.0601,1077.28,1.6460201,0,272.10501
1479.72,1076.92,1.6442,0,272.08701
1480.38,1076.55,1.64239,0,272.06799
1481.04,1076.1899,1.64057,0,272.04999
1481.7,1075.8199,1.63875,0,272.03101
1482.36,1075.46,1.63694,0,272.013
1483.02,1075.09,1.63512,0,271.995
1483.6801,1074.72,1.63331,0,271.97699
1484.34,1074.35,1.63149,0,271.95901
1485,1073.98,1.62967,0,271.94101
1485.67,1073.61,1.62786,0,271.923
1486.33,1073.24,1.62604,0,271.905
1486.99,1072.87,1.62422,0,271.888
1487.66,1072.49,1.6224101,0,271.87
1488.3199,1072.12,1.62059,0,271.853
1488.99,1071.74,1.61878,0,271.836
1489.65,1071.37,1.61696,0,271.819
1490.3199,1070.99,1.61514,0,271.80099
1490.99,1070.61,1.61332,0,271.785
1491.66,1070.24,1.6115,0,271.76801
1492.3199,1069.86,1.6096801,0,271.75101
1492.99,1069.48,1.60786,0,271.73401
1493.66,1069.1,1.60603,0,271.71799
1494.33,1068.71,1.6042,0,271.70099
1495,1068.33,1.60237,0,271.685
1495.67,1067.95,1.60054,0,271.66901
1496.35,1067.5601,1.5987099,0,271.65302
1497.02,1067.1801,1.5968699,0,271.63699
1497.6899,1066.79,1.59504,0,271.621
1498.36,1066.41,1.5932,0,271.60501
1499.04,1066.02,1.59137,0,271.59
1499.71,1065.63,1.58953,0,271.57401
1500.39,1065.24,1.58769,0,271.55899
1501.0601,1064.85,1.58586,0,271.54401
1501.74,1064.46,1.58402,0,271.52899
1502.41,1064.0601,1.58218,0,271.513
1503.09,1063.67,1.58034,0,271.49899
1503.77,1063.28,1.5785,0,271.48401
1504.45,1062.88,1.57666,0,271.46899
1505.13,1062.49,1.5748301,0,271.45499
1505.8,1062.09,1.5729899,0,271.44
1506.48,1061.6899,1.5711499,0,271.42599
1507.17,1061.29,1.5693099,0,271.41199
1507.85,1060.89,1.56748,0,271.39801
1508.53,1060.49,1.56564,0,271.384
1509.21,1060.09,1.56381,0,271.37
1509.89,1059.6899,1.56198,0,271.35699
1510.58,1059.28,1.56014,0,271.34299
1511.26,1058.88,1.55831,0,271.32999
1511.9399,1058.47,1.5564801,0,271.31699
1512.63,1058.0699,1.5546499,0,271.30399
1513.3199,1057.66,1.55283,0,271.29099
1514,1057.25,1.551,0,271.27802
1514.6899,1056.84,1.54918,0,271.26501
1515.38,1056.4301,1.54735,0,271.25299
1516.0601,1056.02,1.54553,0,271.23999
1516.75,1055.61,1.54371,0,271.228
1517.4399,1055.1899,1.5419,0,271.216
1518.13,1054.78,1.54008,0,271.20401
1518.8199,1054.37,1.53827,0,271.19199
1519.51,1053.95,1.53646,0,271.17999
1520.2,1053.53,1.53465,0,271.16901
1520.9,1053.11,1.53285,0,271.15799
1521.59,1052.7,1.53104,0,271.146
1522.28,1052.28,1.52924,0,271.13501
1522.98,1051.85,1.52745,0,271.12399
1523.67,1051.4301,1.52565,0,271.11401
1524.36,1051.01,1.52386,0,271.103
1525.0601,1050.58,1.5220701,0,271.09299
1525.76,1050.16,1.52028,0,271.082
1526.45,1049.73,1.5185,0,271.07199
1527.15,1049.3101,1.5167201,0,271.06201
1527.85,1048.88,1.51494,0,271.052
1528.55,1048.45,1.51316,0,271.043
1529.25,1048.02,1.51139,0,271.03299
1529.95,1047.59,1.50962,0,271.02399
1530.65,1047.16,1.5078599,0,271.01501
1531.35,1046.72,1.5061001,0,271.005
1532.05,1046.29,1.5043401,0,270.99701
1532.75,1045.85,1.5025899,0,270.98801
1533.45,1045.42,1.5008399,0,270.979
1534.16,1044.98,1.49909,0,270.97101
1534.86,1044.54,1.49735,0,270.96301
1535.5699,1044.1,1.49561,0,270.95499
1536.27,1043.66,1.49387,0,270.94699
1536.98,1043.22,1.4921401,0,270.939
1537.6899,1042.78,1.49041,0,270.93201
1538.39,1042.34,1.48869,0,270.92401
1539.1,1041.89,1.4869699,0,270.91699
1539.8101,1041.45,1.48526,0,270.91
1540.52,1041,1.48355,0,270.90302
1541.23,1040.55,1.48184,0,270.897
1541.9399,1040.11,1.48014,0,270.89001
1542.65,1039.66,1.47844,0,270.884
1543.36,1039.21,1.47674,0,270.87799
1544.0699,1038.75,1.47506,0,270.87201
1544.79,1038.3,1.47337,0,270.866
1545.5,1037.85,1.4716901,0,270.86099
1546.21,1037.39,1.47001,0,269.6938764
1546.9301,1036.9399,1.46834,0,258.1713485
1547.64,1036.48,1.46668,0,247.2940156
1548.36,1036.02,1.46501,0,236.7299453
1549.08,1035.5601,1.46336,0,226.617158
1549.79,1035.1,1.4617,0,217.067957
1550.51,1034.64,1.46005,0,207.7951037
1551.23,1034.1801,1.45841,0,198.9183742
1551.95,1033.72,1.4567699,0,190.4208468
1552.67,1033.25,1.45514,0,182.2863224
1553.39,1032.79,1.45351,0,174.499294
1554.11,1032.3199,1.45189,0,167.0449171
1554.83,1031.86,1.4502701,0,159.9089812
1556.27,1031.39,1.44865,0,146.5386001
1556.28,917.896,3.9136901,1.9805,146.4497718
1556.53,919.49902,3.9100201,1.9786,144.24648
1556.78,920.99902,3.90658,1.97681,142.076336
1557.03,922.38397,3.9033899,1.97515,139.9388412
1557.28,923.64502,3.90046,1.9736201,137.8335044
1557.53,924.78302,3.8978,1.97223,135.7598416
1557.78,925.79999,3.8954,1.97096,133.7173765
1558.02,926.703,3.89325,1.96983,131.785525
1558.27,927.50098,3.89131,1.9687999,129.8028523
1558.52,928.20398,3.88958,1.96788,127.8500083
1558.77,928.82202,3.8880301,1.9670399,125.9265442
1559.02,929.36298,3.8866401,1.96629,124.032018
1559.27,929.836,3.88539,1.96562,122.1659944
1559.51,930.25,3.88427,1.965,120.4010289
1559.76,930.61298,3.88326,1.96444,118.5896324
1560.01,930.92902,3.88234,1.96393,116.8054878
1560.26,931.20599,3.8815,1.96346,115.0481851
1560.5,931.448,3.8807399,1.96302,113.3860525
1560.75,931.65997,3.8800399,1.96262,111.6801942
1561,931.65997,3.8794,1.96225,110
